"key","date","campaign_name","ad_set_name","network","signups","p0_signup","p0_signup_per","p1_signup","p1_signup_per","total_trial","third_tcard_unlock","third_tcard_unlock_per","trial_per","d0","d0_revenue","d0_aov","d0_d6","d0_d6_revenue","d0_d6_aov","d0_d15","d0_d30","d0_d60","d0_d90","d0_per","d0_d6_per","d0_d15_per","d0_d30_per","d0_d60_per","d0_d90_per","new_user_count_by_trial","new_user_revenue_by_trial","new_user_count_by_trial_per","overall_users","overall_revenue","new_converted_user","new_converted_user_per","new_user_rev","new_user_aov","repeat_converted_user","repeat_converted_user_per","repeat_revenue","m0","m0_revenue","m0_aov","d0_trial","d0_d6_overall","d0_d6_revenue_overall","m0_p0andp1","m0_p0andp1_revenue","m0_p0andp1_aov","m0_other","m0_other_revenue","m0_other_aov","d6_mandate_con","d6_mandate_revenue","Week number"
"46101","20/03/2026","","","Organic","382","25","6.54","57","14.92","48","25","52.08","12.56544503","2","5473","2736.5","17","43057.33","2532.784118","20","20","20","20","0.52","4.45","5.24","5.24","5.24","5.24","17","20168.33","35.42","23","92454.33","20","5.24","90356.33","4517.82","3","0.79","2098","21","90856.33","4326.491905","33","20","45055.33","3","9897","3299","3","9897","3299","12","28588","Week 2"
"46101UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-1-010823","20/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-1-010823","Google","415","14","3.37","40","9.64","73","37","50.68","17.59036145","2","6249","3124.5","12","31264","2605.333333","16","16","16","16","0.48","2.89","3.86","3.86","3.86","3.86","13","10295","17.81","18","41758","16","3.86","38560","2410","2","0.48","3198","18","41758","2319.888889","55","16","32563","4","11272","2818","4","11272","2818","9","21291","Week 2"
"46101GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","20/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2351","85","3.62","336","14.29","85","15","17.65","3.615482773","0","0","","22","61578","2799","27","27","27","27","0","0.94","1.15","1.15","1.15","1.15","27","2799","31.76","27","75573","27","1.15","75573","2799","0","0","","26","72774","2799","56","27","61578","8","22392","2799","8","22392","2799","22","61578","Week 2"
"46101GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","20/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","1787","57","3.19","278","15.56","78","17","21.79","4.364857303","0","0","","18","42882","2382.333333","23","23","23","23","0","1.01","1.29","1.29","1.29","1.29","23","5497","29.49","28","67972","23","1.29","55477","2412.04","5","0.28","12495","28","67972","2427.571429","50","23","42882","3","2598","866","3","2598","866","18","42882","Week 2"
"46100GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_generic_start-trial_230226","19/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_generic_start-trial_230226","Google","854","0","0","10","1.17","149","54","36.24","17.44730679","0","0","","10","24990","2499","17","17","17","17","0","1.17","1.99","1.99","1.99","1.99","17","4098","11.41","19","48681","17","1.99","43083","2534.29","2","0.23","5598","19","48681","2562.157895","127","17","24990","0","","","0","","","10","24990","Week 2"
"46100GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","19/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2448","74","3.02","411","16.79","91","21","23.08","3.717320261","0","0","","21","55779","2656.142857","27","27","27","27","0","0.86","1.1","1.1","1.1","1.1","27","4098","29.67","27","71073","27","1.1","71073","2632.33","0","0","","27","71073","2632.333333","58","27","55779","4","11196","2799","4","11196","2799","21","55779","Week 2"
"46100GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","19/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","1938","61","3.15","312","16.1","76","24","31.58","3.921568627","1","2499","2499","20","55680","2784","28","28","28","28","0.05","1.03","1.44","1.44","1.44","1.44","28","8496","36.84","30","81270","28","1.44","75672","2702.57","2","0.1","5598","30","81270","2709","49","28","55680","10","27090","2709","10","27090","2709","19","53181","Week 2"
"46099UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","18/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","885","10","1.13","53","5.99","94","30","31.91","10.62146893","2","4498","2249","12","32488","2707.333333","17","17","17","17","0.23","1.36","1.92","1.92","1.92","1.92","15","5398","15.96","18","49432","17","1.92","46633","2743.12","1","0.11","2799","18","49432","2746.222222","71","17","35287","4","10446","2611.5","4","10446","2611.5","11","30789","Week 2"
"46099UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-1-010823","18/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-1-010823","Google","412","6","1.46","38","9.22","63","29","46.03","15.29126214","3","7272","2424","12","29438","2453.166667","15","15","15","15","0.73","2.91","3.64","3.64","3.64","3.64","13","7871","20.63","17","47573.85","15","3.64","37835","2522.33","2","0.49","9738.85","17","47573.85","2798.461765","48","15","35937","8","24967","3120.875","8","24967","3120.875","8","20892","Week 2"
"46099GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_options_start-trial_230226","18/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_options_start-trial_230226","Google","731","0","0","11","1.5","120","42","35","16.41586867","0","0","","6","15294","2549","15","15","15","15","0","0.82","2.05","2.05","2.05","2.05","15","4098","12.5","15","37485","15","2.05","37485","2499","0","0","","14","36186","2584.714286","97","15","15294","0","","","0","","","6","15294","Week 2"
"46099GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_generic_start-trial_230226","18/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_generic_start-trial_230226","Google","1134","0","0","26","2.29","173","60","34.68","15.25573192","0","0","","13","33387","2568.230769","24","24","24","24","0","1.15","2.12","2.12","2.12","2.12","24","4098","13.87","25","65475","24","2.12","62676","2611.5","1","0.09","2799","23","59877","2603.347826","143","24","36186","1","2799","2799","1","2799","2799","14","36186","Week 2"
"46099GA_UAC_Android_KYC-Catalyst-Quality-SU_Pan-India_101225ga_aud-signal_android_generic_catalyst-quality-su_101225","18/03/2026","GA_UAC_Android_KYC-Catalyst-Quality-SU_Pan-India_101225","ga_aud-signal_android_generic_catalyst-quality-su_101225","Google","1000","36","3.6","192","19.2","62","27","43.55","6.2","2","5649","2824.5","16","42435","2652.1875","18","18","18","18","0.2","1.6","1.8","1.8","1.8","1.8","18","12045","29.03","20","57431","18","1.8","45633","2535.17","2","0.2","11798","20","57431","2871.55","44","18","51434","5","10871","2174.2","5","10871","2174.2","13","34887","Week 2"
"46099GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","18/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2494","102","4.09","398","15.96","94","28","29.79","3.76904571","2","5398","2699","15","38385","2559","19","19","19","19","0.08","0.6","0.76","0.76","0.76","0.76","19","7596","20.21","20","52380","19","0.76","49581","2609.53","1","0.04","2799","20","52380","2619","69","19","41184","4","10996","2749","4","10996","2749","14","35786","Week 2"
"46099GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","18/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2369","90","3.8","364","15.37","94","20","21.28","3.967918953","0","0","","27","70773","2621.222222","32","32","32","32","0","1.14","1.35","1.35","1.35","1.35","31","3598","32.98","33","87567","32","1.35","84768","2649","1","0.04","2799","31","81969","2644.16129","56","32","70773","10","25190","2519","10","25190","2519","26","68774","Week 2"
"46098UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","17/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","4365","37","0.85","219","5.02","206","58","28.16","4.719358534","1","4999","4999","38","104662","2754.263158","49","49","49","49","0.02","0.87","1.12","1.12","1.12","1.12","48","5796","23.3","55","150745","49","1.12","133951","2733.69","6","0.14","16794","54","147946","2739.740741","150","49","104662","3","8397","2799","3","8397","2799","37","99663","Week 3"
"46098GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_options_start-trial_230226","17/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_options_start-trial_230226","Google","896","1","0.11","15","1.67","154","59","38.31","17.1875","0","0","","10","27990","2799","20","20","20","20","0","1.12","2.23","2.23","2.23","2.23","20","2799","12.99","22","61578","20","2.23","55980","2799","2","0.22","5598","22","61578","2799","125","20","27990","1","2799","2799","1","2799","2799","10","27990","Week 3"
"46098GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_generic_start-trial_230226","17/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_generic_start-trial_230226","Google","1256","1","0.08","22","1.75","190","63","33.16","15.12738854","1","1224","1224","14","33111","2365.071429","21","21","21","21","0.08","1.11","1.67","1.67","1.67","1.67","21","5322","11.05","23","50802","21","1.67","48204","2295.43","2","0.16","2598","23","50802","2208.782609","160","21","33111","2","4098","2049","2","4098","2049","13","31887","Week 3"
"46098GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_options_catalyst-quality-su_040825","17/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_options_catalyst-quality-su_040825","Google","2435","82","3.37","381","15.65","99","27","27.27","4.065708419","0","0","","22","58253","2647.863636","27","27","27","27","0","0.9","1.11","1.11","1.11","1.11","27","9170","27.27","32","81743","27","1.11","70748","2620.3","5","0.21","10995","32","81743","2554.46875","65","27","58253","7","17494","2499.142857","7","17494","2499.142857","20","53980","Week 3"
"46098GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825ga_aud-signal_android_generic_catalyst-quality-su_040825","17/03/2026","GA_UAC_Android_Catalyst-Quality-SU_Pan-India_040825","ga_aud-signal_android_generic_catalyst-quality-su_040825","Google","2067","80","3.87","353","17.08","69","16","23.19","3.338171263","4","10971","2742.75","22","57254","2602.454545","25","25","25","25","0.19","1.06","1.21","1.21","1.21","1.21","22","16369","31.88","27","68849","25","1.21","64751","2590.04","2","0.1","4098","27","68849","2549.962963","48","25","57254","9","24291","2699","9","24291","2699","16","40285","Week 3"
"46097","16/03/2026","","","Organic","904","19","2.1","80","8.85","69","31","44.93","7.632743363","2","4448","2224","15","40885","2725.666667","18","18","18","18","0.22","1.66","1.99","1.99","1.99","1.99","16","10420","23.19","24","83076","18","1.99","49282","2737.89","6","0.66","33794","24","83076","3461.5","53","18","63483","9","40442","4493.555556","9","40442","4493.555556","9","23691","Week 3"
"46097UAC-Univest-Pro-Activated-PRO-010823uac-univest-pro-activated-2-010823","16/03/2026","UAC-Univest-Pro-Activated-PRO-010823","uac-univest-pro-activated-2-010823","Google","5798","60","1.03","341","5.88","273","71","26.01","4.708520179","1","799","799","30","75845","2528.166667","62","62","62","62","0.02","0.52","1.07","1.07","1.07","1.07","62","10769","22.71","72","185904","62","1.07","163113","2630.85","10","0.17","22791","72","185904","2582","202","62","77744","8","18093","2261.625","8","18093","2261.625","27","71173","Week 3"
"46097GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_options_start-trial_230226","16/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_options_start-trial_230226","Google","871","0","0","12","1.38","139","45","32.37","15.9586682","0","0","","8","17892","2236.5","15","15","15","15","0","0.92","1.72","1.72","1.72","1.72","15","4098","10.79","15","37485","15","1.72","37485","2499","0","0","","15","37485","2499","116","15","17892","0","","","0","","","8","17892","Week 3"
"46097GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226ga_aud-signal_android_generic_start-trial_230226","16/03/2026","GA_UAC-TCPA_Android_Start-Trial_Best-Region_230226","ga_aud-signal_android_generic_start-trial_230226","Google","1312","1","0.08","17","1.3","190","53","27.89","14.48170732","0","0","","9","23691","2632.333333","17","17","17","17","0","0.69","1.3","1.3","1.3","1.3","17","4098","8.95","20","52980","17","1.3","44583","2622.53","3","0.23","8397","20","52980","2649","167","17","23691","0","","","0","","","9","23691","Week 3"
