"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","01/04/2026","Today","?220,197","571","8","33","84","1","1","0","14999","?14,999","14999","0","84","?386","41","7%","5,371","?2,621","14.71%","?220,197","0.2%","6.8%","220,197","0.2%","220,197","6.8%","0.0%","6.8%","0.0%","6.8%","","","4.0%","","Test3-Campaign_FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_200226","FB_MOF_Detail-Target_Android_B&W-Nupur-Inf-Test-1_V0_Pro-Sub_270326","GA_Aud-Signal_Android_One-Plus-Subs-27K_Pro-Sub_030226","","","","","","","","",""
"","","","?4,091,577","12445","334","1030","1544","49","249","307","163477","?1,048,619","1400065","406540","1947","?329","1,364","11%","3,000","?2,650","12.41%","?83,502","0.4%","4.0%","16,432","2.0%","16,432","25.6%","9.9%","15.7%","15.8%","34.2%","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_010326_Best-Ads","FB_MOF_Detail-Target_Android_Telegram-Prish-Inf-Test-1_V0_Pro-Sub_270326","GA_Aud-Signal_Android_Options-Theme_Pro-Sub_130326","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_060326_FB-Only","FB_MOF_Detail-Target_Android_Himanshu-Inf-Test_V0_Pro-Sub_300326","GA_Aud-Signal_Android_Perf-Ads_Pro-Sub_200326","","","","","","","","",""
"","","Campaign name","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200-Ad-2_FB_MOF_AAA_Android_Pro-Sub_Pan-India_230226","FB_MOF_Detail-Target_Android_Kanika-Inf-Test_V0_Pro-Sub_300326","GA_Open_Web_Stock-Picks-Buy-Recom_Pro-Sub_020326","","","","","","","","",""
"","","FB_MOF_Manual-App_Android_Pro-Sub_Best-Region_180326_Bid-Cap","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_041125_LAL","FB_MOF_Detail-Target_Android_Fincard-Revised-Test_V0_Pro-Sub_310326","GA_Aud-Signal_Android_Options_Any-Pro-Sub_230226","","","","","","","","",""
"","","Week number","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Revamped-Videos_FB_MOF_AAA_Android_Pro-Sub_Best-Region_130226","FB_MOF_Detail-Target_Android_Signal-Test_Pro-Sub_200326","GA_Aud-Signal_Android_Generic_Any-Pro-Sub_230226","","","","","","","","",""
"18/02/2026","24/02/2026","Week 6","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_170226_Stock-ideas_Exp","FB_MOF_Detail-Target_Android_Market-Dip-Print-Machine-Test_Pro-Sub_200326","GA_Aud-Signal_Android_Generic_Any-Pro-Sub_190326","","","","","","","","",""
"25/02/2026","03/03/2026","Week 5","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_Pan-India_170226_Stock-Picks_Exp","FB_MOF_Detail-Target_Android_Pranit-War-Test_V1_Pro-Sub_210326","GA_Aud-Signal_Android_Options_Any-Pro-Sub_190326","","?108,804","122","64","17","1","13","?28,787","34385"
"04/03/2026","10/03/2026","Week 4","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","200-Ad_FB_MOF_AAA_Android_Pro-Sub_Pan-India_030226","FB_MOF_Detail-Target_Android_Pranit-War-Test_V2_Pro-Sub_210326","","","","","","","","","",""
"11/03/2026","17/03/2026","Week 3","?0","0","0","0","0","0","0","0","0","?0","0","0","0","","0","","","","","","","","","","","","","","","","","","","","Thumb-Group-Campaign_FB_MOF_AAA_Android_Pro-Sub_Best-Region_090126","FB_MOF_Detail-Target_Android_Prishita-Inf-Test-1_V0_Pro-Sub_230326","","","","","","","","","",""
