"Start date","Google End date","Campaign name UAC-Univest-Pro-Activated-PRO-010823","Sum of spends","Sum of signups","Sum of p0","Sum of p1","Sum of d0_trial","Sum of d0","Sum of d0_d6","Sum of new_user_count_by_trial","Sum of d0_revenue","Sum of d6_revenue","Sum of overall_revenue","Sum of d6_mandate_amount","Sum of total_trial","SU Cost","P0+P1","P0+P1%","Prio Cost","C/D0 Trial","Trial %","d0 CAC","d0%","D0 ROAS","d6 CAC","d6%","D6 CAC","D6 ROAS","D6 mandate ROAS","D6 non mandate roas","Real%","overall roas","D6 Mandate Revenue/ D0 Trial","Revenue/Trial","","Google camapign list","Meta campaign list","Meta adset list","Google Adgroups list","","Spends","Signups","P0P1","D0","D6","D0 Trials","D6 Rev","Overall Rev"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Jibran-Inf-Test_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Nifty-all-Time-High-Test_Pro-Sub_050126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Revamped-Videos_Pro-Sub_130226_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Stock-Ideas-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Stock-Picks-Test_Pro-Sub_170226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_200-Ads_Pro-Sub_030226_Adset2","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_200-Ads_Pro-Sub_030226_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Thumb-Cluster_Pro-Sub_090126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_BOF_Custom_Android_Insta-Visitors-365d_Pro-Sub_190825","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Video_Cherry-Metro-Test-Without-Univest_V0_Pro-Sub_230126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Union-Budget-Test_V0_Pro-Sub_260126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Fire-Budget-Test_V0_Pro-Sub_270126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Union-Budget-Videos-Test_V0_Pro-Sub_270126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Union-Budget-Videos-Test_V1_Pro-Sub_280126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Mohit-Test_V0_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Asking-People-Questions-Test_V0_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_US-India-Deal-Test_V0_Pro-Sub_050226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Explained-Test_Pro-Sub_050226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Hegde-Inf-Test_Pro-Sub_070226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_FD-Karli-Influencer-Test_Pro-Sub_181225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Gods-In-Car-Test_Pro-Sub_220126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Influencer-Amitesh-UB-Test_Pro-Sub_290126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Yash-Kabir-Test_Pro-Sub_300126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Pranit-Budget-Test_Pro-Sub_010226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_G-Meet-Test_V0_Pro-Sub_050226","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AI-Testimonial-Test_Pro-Sub_241225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Revamped-Videos-Test_Pro-Sub_280126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_TROAS-40%_Pro-Sub_060126_Age-20-30","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Best-30-Ads_Pro-Sub_020126_Best-region","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Pranit-Perf-Test_V0_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Manish-Test_V1_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Manish-Test_V2_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cherry-Metro-Test-Without-Univest_V0_Pro-Sub_140126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Daily-Nifty-Analysis-Test_V0_Pro-Sub_210126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cherry-Exit-St-Test_V0_Pro-Sub_270126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Metro-Motion-Test_V0_Pro-Sub_270126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_CA-Lakshmi-Test_V0_Pro-Sub_311225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Tweet-Test_V0_Pro-Sub_311225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Cherry-Metro-Test_V0_Pro-Sub_140126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Aunty-Test_V1_Pro-Sub_031225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Jasmine-Test_Pro-Sub_261225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Pranit-Silver-Test_Pro-Sub_291225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Traget_Android_YT-Cut-Test_Pro-Sub_150126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Traget_Android_YT-Cut-2-Test_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Doctor-Test_V2_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Traget_Android_US-War-Test_Pro-Sub_160126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ayush-New-Test_V1_Pro-Sub_190126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Ayush-New-Test_V2_Pro-Sub_190126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Vaishali-Test_Pro-Sub_190126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Copper-Pranit-Test_Pro-Sub_190126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Carousel-Test_Pro-Sub_210126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Doctor-Test_Pro-Sub_121225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Web-to-App_Start-Trial_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Old-Uncle-Test_V0_Pro-Sub_010126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Vakeel-Test_V0_Pro-Sub_020126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Kaushal-Pandey-Test_V0_Pro-Sub_050126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Karan-Shetty-Test_V0_Pro-Sub_050126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AI-Suggestion-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Enterpreneur-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Fake-Guru-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Friend-Convo-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Lottery-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Therapist-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_News-Anchor-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Corporate-Test_V0_Pro-Sub_070126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Laptop-Test_V0_Pro-Sub_080126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Expose-Test_V0_Pro-Sub_090126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Anurag-Lacoste-Test_V0_Pro-Sub_090126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Himanshu-Karan-Shetty-Test_V0_Pro-Sub_090126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Economictimes-Test_V0_Pro-Sub_120126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Comment-Test_V0_Pro-Sub_120126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Rahul-Laptop-Test_V2_Pro-Sub_120126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Test-Creatives_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Stock-Heist-Test_V0_Pro-Sub_081225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Nakul-Test_V0_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Diversification-Dilemma-Test_Pro-Sub_050126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Short-Term-Trade-Test_Pro-Sub_060126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_New-Year-Resolution-Test_Pro-Sub_060126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Shainal-Test_Pro-Sub_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_New-Year-RA-Test_Pro-Sub_301225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Makeup-Overloaded-Test_Pro-Sub_010126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Tummy-Girl-Test_Pro-Sub_010126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_New-Year-Statics-Test_Pro-Sub_010126","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Nakul-New-Inf-Test_Pro-Sub_221225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Custom_Android_F&O_Users_Pro-Sub_181225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Best-30-Ads_Pro-Sub_020126_Worst-region","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Best-1-Ads_Pro-Sub_020126_Best-region","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Best-1-Ads_Pro-Sub_020126_Worst-region","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_100-Best-Ads_Pro-Sub_111225_AdSet1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Stock-Heist-Inf_Pro-Sub_241225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Performance-Ads-test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Malik-Test_V0_Pro-Sub_311225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Cheating-80-Defence-Test_V0_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Equity-Options-Futures_V0_Pro-Sub_171225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_YouTube_Video-Test_Pro-Sub_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Cluster-Videos-Test_Pro-Sub_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Cluster-Videos-Test-2_Pro-Sub_191225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Pranit-Inshorts-Test_Pro-Sub_221225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Economic-100plus-Discover-Test_Pro-Sub_231225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AI-Christmas-Test_Pro-Sub_231225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Christmas-Statics-Test_Pro-Sub_241225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_New-Year-AI-Test_Pro-Sub_301225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Ayush-Influencer-Test_Pro-Sub_081225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_F&O_Users-1%_Pro-Sub_181225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_40years+-Experience-Test_V0_Pro-Sub_011225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_W-Tshirt-Ladka-Test_V0_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_3-New-Statics-Test_V0_Pro-Sub_151225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Monkey-AI-Test_V1_Pro-Sub_181125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Monkey-AI-Test_V2_Pro-Sub_181125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Anil-Eternal-Test_V0_Pro-Sub_181125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AS-Sebi-Test_V0_Pro-Sub_171125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Buddhu-Ladki-Test_Pro-Sub_131125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOF-AAA-Android-India-NewuserSubscription-050525Campaign Ad Set","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MOF-AAA-Android-India-YoutubeNewuserSubscription-250625","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Shark-Test_V0_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Hedged-Video-V1-Test_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Hedged-Video-V2-Test_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Hedged-Video-V3-Test_Pro-Sub_091225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Orange-Goggles-V1-Test_Pro-Sub_101225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Orange-Goggles-V2-Test_Pro-Sub_101225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Orange-Goggles-V3-Test_Pro-Sub_101225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Monkey-AI-Test_V3_Pro-Sub_141225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_1%-D0-Converters_Pro-Sub_111125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_1%-Portfolio-Connectors_Start-Trial_111125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_LAL_Android_1%-Direct-Purchase_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Pro-Sub_010825_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_Telugu-Ads_Pro-Sub_041025","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_AAA_Android_Pro-Sub_010825_Adset2","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open-detail_Android_Device-Filter_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Detail-Target_Android_HHI-(10-20%)_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Manual-App_Android_Pro-Sub_120825_Adset1","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Paper-Crumple-BF-Test_V0_Pro-Sub_231125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Angrez-Uncle-Test_V0_Pro-Sub_241125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Election-Day-Test_V1_Pro-Sub_261125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Selfie-Girl-BlackF-Test_V0_Pro-Sub_261125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Aunty-Black-F-Test_V0_Pro-Sub_271125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Multibagger-Statics-Test_V0_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Aunty-Black-F-Test_V2_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Angrez-Tond-Test_V0_Pro-Sub_281125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Angrez-Uncle-Test_V2_Pro-Sub_021225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Hladki-Test_V0_Pro-Sub_031225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Aunty-Test_V2_Pro-Sub_031225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Time-Traveller-Test_V0_Pro-Sub_031225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Breakup-Test_V0_Pro-Sub_041225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_AI-Ladki-Test_V0_Pro-Sub_041225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Univest-HR-Test_V0_Pro-Sub_041225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Video-Cheating-80-Defence-Test_V2_Pro-Sub_041225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Video-Multibagger-Test_V0_Pro-Sub_041225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Negative-Hook-Test_V0_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Why-do-Stock-Guru-Test_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Perplexity-Kabir-Test_Pro-Sub_051225","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_Irritating-Ladki-Test_V0_Pro-Sub_141125","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","FB_MOF_Open_Android_5000-dede_H2_Pro-Sub_151125","","","","","","","","","",""
